,0
0,15013.755000000094
1,20990.688000000086
2,25308.629000000077
3,27986.612000000074
4,29490.607000000073
5,30278.614000000074
6,31470.62000000008
7,31522.620000000083
8,32614.60400000008
9,33362.60600000009
10,30065.588000000087
11,29053.565000000086
12,29654.53900000008
13,29091.531000000083
14,27580.52200000008
15,25749.534000000083
16,24453.543000000085
17,23877.553000000087
18,22360.554000000084
19,22772.55900000008
20,25246.552000000087
21,27557.546000000082
22,27688.521000000084
23,27697.50100000008
24,27576.49200000008
25,29316.475000000075
26,28888.474000000075
27,28153.482000000076
28,26639.47000000007
29,27183.451000000066
30,28099.434000000067
31,27918.411000000066
32,29293.402000000064
33,29918.38200000006
34,31244.37000000006
35,29352.372000000058
36,30053.35900000006
37,30370.350000000053
38,32452.32400000005
39,32056.329000000052
40,30812.317000000054
41,30703.29900000005
42,28852.308000000052
43,27558.30600000005
44,26301.29900000005
45,26161.279000000046
46,24708.274000000045
47,24004.281000000046
48,24180.277000000046
49,23001.276000000045
50,23647.262000000042
51,23920.254000000037
52,23139.25100000004
53,22587.24700000004
54,21877.24400000004
55,23829.24200000004
56,24435.24000000004
57,24348.227000000035
58,23195.20700000003
59,23024.20100000003
60,22256.195000000032
61,21212.18800000003
62,21790.18400000003
63,22058.18200000003
64,23144.167000000027
65,21781.158000000025
66,21559.158000000025
67,21915.158000000025
68,22681.154000000024
69,23851.145000000022
70,22951.141000000018
71,23541.136000000017
72,23403.120000000014
73,22691.11500000002
74,20741.104000000014
75,21327.094000000012
76,21173.09200000001
77,20168.07500000001
78,20295.06900000001
79,20123.053000000007
80,19902.044000000005
81,20687.046000000002
82,20739.048000000006
83,20323.052000000007
84,19551.053000000007
85,19601.052000000007
86,19825.051000000007
87,19567.043000000005
88,19276.039000000004
89,19227.044000000005
90,19224.043000000005
91,18878.040000000005
92,20071.039000000004
93,21314.036000000004
94,23265.041000000005
95,22708.038000000004
96,22331.038000000004
97,23035.044000000005
98,23875.041000000005
99,24452.045000000006
100,23966.040000000005
101,23807.036000000004
102,22700.035000000003
103,22172.031000000003
104,19595.035000000003
105,20552.037000000004
106,20674.043000000005
107,20354.038000000004
108,19309.030000000002
109,18306.037000000004
110,17952.036000000004
111,17778.040000000005
112,18389.040000000005
113,19218.037000000004
114,19824.038000000004
115,20960.040000000005
116,21831.033000000003
117,21639.034000000003
118,21044.036000000004
119,20464.035000000003
120,21062.034000000003
121,21878.030000000002
122,23584.035000000003
123,23719.039000000004
124,24912.036000000004
125,22864.046000000006
126,21561.040000000005
127,21548.041000000005
128,22369.036000000004
129,23214.031000000003
130,23334.023
131,23131.023
132,21782.023000000005
133,20958.027000000002
134,19551.029000000006
135,20911.030000000006
136,20846.035000000003
137,20851.034000000003
138,20815.038000000004
139,19814.040000000005
140,19416.040000000005
141,18971.043000000005
142,18402.043000000005
143,19023.039000000004
144,19478.034000000003
145,19525.031000000003
146,21103.029000000002
147,20687.031000000003
148,20729.029000000002
149,19988.026
150,20211.022
151,19928.030000000002
152,22047.032000000003
153,21615.034000000003
154,22824.031000000003
155,22070.029000000002
156,20510.029000000002
157,21316.027000000002
158,20952.025
159,21350.025
160,21704.029000000002
161,21106.030000000006
162,20474.033000000003
163,20648.034000000003
164,19907.031000000003
165,21111.029000000002
166,21493.029000000002
167,21735.026000000005
168,22263.031000000003
169,21517.029000000002
170,22294.028000000002
171,22271.031000000003
172,21517.029000000002
173,20890.031000000003
174,21462.032000000007
175,21644.033000000003
176,23620.031000000003
177,22476.029000000006
178,22120.027000000002
179,22029.034000000003
180,20630.036000000004
181,20648.034000000003
182,21865.031000000003
183,22071.032000000003
184,22658.030000000002
185,22362.039000000004
186,21397.037000000004
187,21382.040000000005
188,21366.040000000005
189,21743.041000000005
190,22094.044000000005
191,21527.042000000005
192,20986.038000000004
193,20786.039000000004
194,20362.041000000005
195,21683.045000000006
196,21387.039000000004
197,21397.037000000004
198,21028.036000000004
