,0
0,247.78249863013664
1,374.7209205479446
2,441.668164383561
3,478.99654246575244
4,499.94153972602646
5,511.9907123287659
6,519.8645287671226
7,527.5685068493142
8,532.6642794520534
9,552.617657534245
10,481.31883287671127
11,455.81450410958837
12,412.400599999999
13,380.4744383561635
14,358.20583561643764
15,341.24133972602647
16,317.005684931506
17,301.05496712328704
18,285.9509013698623
19,275.4878136986293
20,302.6438876712322
21,333.6766684931499
22,353.80260273972516
23,388.4929753424646
24,408.2133890410947
25,413.8516767123278
26,414.5995095890398
27,426.87891780821803
28,443.51721643835515
29,455.3500082191772
30,459.37999999999886
31,454.0428849315062
32,475.6701945205466
33,486.2618794520536
34,474.4207232876702
35,480.97402465753305
36,478.28901917808093
37,478.73816986301244
38,488.50788493150543
39,481.20083013698536
40,466.7488246575333
41,460.8666547945193
42,459.7817287671225
43,452.53241369862945
44,447.5460876712319
45,462.26934520547854
46,454.3241534246566
47,446.85020547945123
48,447.5899150684926
49,444.5461041095882
50,443.94333698630055
51,434.94880547945127
52,426.6720712328761
53,458.107671232876
54,458.1542712328759
55,445.38167123287604
56,435.6611452054788
57,446.0638273972598
58,447.7515178082185
59,464.0008301369857
60,459.7652273972596
61,455.4720739726021
62,455.1460410958897
63,446.0912547945197
64,441.57344657534173
65,450.2611068493143
66,464.60080821917705
67,461.2391999999992
68,459.46384109588934
69,452.83916438356096
70,462.47479178082125
71,464.5816493150676
72,478.38438356164266
73,470.72683835616306
74,471.9679479452043
75,471.9761561643825
76,467.0419424657522
77,464.00632602739614
78,464.34878356164285
79,463.3432876712318
80,460.56519452054675
81,466.6610684931495
82,460.2391808219168
83,465.7186410958893
84,459.9323479452043
85,465.1597315068484
86,464.33233424657453
87,468.3816493150677
88,473.22823561643764
89,482.83092876712215
90,471.5816219178073
91,459.37340821917735
92,466.77612602739634
93,476.9131232876703
94,482.2364136986291
95,472.89669589041006
96,476.92409863013603
97,477.18164109588963
98,472.01452054794436
99,471.49398630136886
100,480.8967178082181
101,481.6501287671222
102,484.7515260273958
103,489.332345205478
104,504.6610931506834
105,498.8967041095877
106,496.80356712328614
