,0
0,710.0005479452032
1,756.0414082191768
2,789.4385589041088
3,813.4247863013693
4,840.5479972602737
5,859.5753780821917
6,879.3561835616437
7,896.0411095890411
8,913.917819178082
9,931.2328849315068
10,935.0958958904109
11,945.7123342465753
12,957.1780849315069
13,966.986304109589
14,979.6027424657534
15,993.027397260274
16,1008.6849315068494
17,1020.3424657534247
18,1034.9178082191781
19,1049.13698630137
20,1072.150684931507
21,1090.3972602739725
22,1106.4520547945206
23,1125.849315068493
24,1145.2876712328766
25,1166.7671260273971
26,1185.4246602739727
27,1205.013701369863
28,1228.2328767123288
29,1248.013698630137
30,1263.5205589041095
31,1283.917824657534
32,1300.8904520547942
33,1324.5205726027395
34,1343.7945506849312
35,1359.08222739726
36,1354.3013999999998
37,1359.7397369863013
38,1353.7534575342463
39,1355.4109808219175
40,1358.6301561643834
41,1355.931531506849
42,1358.1096054794518
43,1350.000035616438
44,1352.6986602739723
45,1351.6438630136986
46,1353.2739945205476
47,1349.0137178082189
48,1353.876720547945
49,1353.876720547945
50,1350.095906849315
51,1348.4794712328767
52,1345.2739917808217
53,1351.1644
54,1351.1644
55,1348.986326027397
56,1351.6438630136986
57,1351.109616438356
58,1351.6164712328766
59,1353.232906849315
60,1355.4109808219175
61,1358.6438520547943
62,1358.123301369863
63,1359.21918630137
64,1355.4794602739726
65,1358.6849397260273
66,1354.9041260273973
67,1355.9452273972602
68,1352.16441369863
69,1353.8630246575342
70,1353.287690410959
71,1354.931517808219
72,1351.150704109589
73,1346.328789041096
74,1349.02741369863
75,1348.000008219178
76,1347.4794575342464
77,1347.3972821917807
78,1351.1233123287668
79,1347.9452246575343
80,1347.3972821917807
81,1345.2602958904108
82,1345.2602958904108
83,1347.9041369863012
84,1354.3835753424655
85,1353.849328767123
86,1352.7534438356163
87,1354.4109671232875
88,1353.3561698630137
89,1353.876720547945
90,1353.260298630137
91,1354.876734246575
92,1353.8630246575342
93,1355.986315068493
94,1352.2055013698628
95,1352.2876767123287
96,1353.3424739726026
97,1355.4794602739726
98,1351.1780958904108
99,1351.7123424657532
100,1351.7123424657532
101,1351.7534301369863
102,1353.3424739726026
103,1347.4657616438355
104,1348.000008219178
105,1348.5342547945204
106,1349.054805479452
107,1349.6164438356163
108,1349.0274136986302
109,1348.9863260273971
110,1349.0274136986302
111,1349.0548054794522
112,1350.0822109589042
113,1353.3287780821918
114,1352.7671397260272
115,1351.178095890411
116,1351.7397342465752
117,1353.3287780821918
118,1357.068504109589
119,1353.3013863013696
120,1353.3287780821918
121,1353.3150821917807
122,1349.5753561643835
123,1349.054805479452
124,1350.0959068493148
125,1351.1917917808219
126,1352.2465890410958
127,1353.2602986301367
128,1348.4657753424656
129,1347.3698904109585
130,1348.5068630136984
131,1350.109602739726
132,1347.89044109589
133,1341.4657863013695
134,1343.1370054794518
135,1343.1507013698629
136,1343.10961369863
137,1345.273991780822
138,1345.2466
139,1349.5753561643835
140,1349.0685013698628
141,1349.0685013698628
142,1351.7397342465752
143,1356.5479534246574
144,1354.3835753424657
145,1352.7671397260274
146,1351.7534301369863
147,1350.1506904109588
148,1352.7808356164383
149,1351.178095890411
150,1352.260284931507
151,1350.6712410958903
152,1350.6712410958903
153,1352.3013726027398
154,1353.3698657534246
155,1354.4246630136986
156,1356.013706849315
157,1357.068504109589
158,1352.2328931506847
159,1348.5479506849315
160,1346.4109643835616
161,1347.986312328767
162,1347.4520657534244
163,1341.6301369863013
164,1343.7671232876712
165,1340.000005479452
166,1341.054802739726
167,1341.5890493150685
168,1345.89041369863
169,1346.3698767123287
170,1347.4383698630138
171,1346.3150931506848
172,1348.5068630136986
173,1346.89042739726
174,1345.273991780822
175,1344.2465863013697
176,1343.6986438356164
177,1345.3287753424656
178,1347.4794575342464
179,1348.5479506849315
180,1351.2191835616438
181,1350.6849369863014
182,1349.082197260274
183,1350.6438493150683
184,1353.3561698630137
185,1353.3013863013698
186,1351.1917917808219
187,1353.3287780821918
188,1347.972616438356
189,1345.9041095890411
190,1345.9041095890411
191,1346.958906849315
192,1346.4246602739727
193,1342.136991780822
194,1341.5753534246574
195,1339.931526027397
196,1341.5753534246574
197,1341.5616575342465
198,1346.3424849315068
199,1346.3561808219179
200,1347.4383698630136
201,1346.3698767123287
202,1346.3561808219176
203,1346.3835726027396
204,1342.0822082191778
205,1340.4657726027394
206,1340.9863232876712
207,1344.2191945205477
208,1344.7671369863015
209,1345.8493260273972
210,1345.301383561644
211,1345.2876876712328
212,1344.2191945205477
213,1348.4931671232875
214,1350.109602739726
215,1350.6575452054794
216,1347.9589205479451
217,1346.3561808219176
218,1343.2191808219177
219,1342.1506876712328
220,1345.8767178082192
221,1343.191789041096
222,1341.027410958904
223,1336.2465835616438
224,1341.068498630137
225,1339.945221917808
226,1342.1506876712328
227,1340.5205561643834
228,1343.6712520547944
229,1345.2602958904108
230,1345.2876876712328
231,1347.4383698630136
232,1348.5068630136984
233,1350.6027616438355
234,1347.4520657534244
235,1346.3835726027396
236,1347.4794575342464
237,1347.4931534246575
238,1346.3972684931507
239,1342.6438465753424
240,1343.7260356164384
241,1343.7123397260273
242,1340.4794684931508
243,1344.835616438356
244,1343.1780931506848
245,1342.136991780822
246,1342.6438465753424
247,1344.7945287671232
248,1341.6027452054793
249,1342.6438465753424
250,1344.808224657534
251,1342.6712383561644
252,1343.1917890410957
253,1337.8356273972602
254,1339.4794547945205
255,1338.4109616438357
256,1338.917816438356
257,1339.986309589041
258,1344.780832876712
259,1344.2465863013697
260,1344.2328904109588
261,1345.863021917808
262,1345.3561671232876
263,1344.2602821917808
264,1342.6438465753424
265,1340.5068602739725
266,1336.7534383561642
267,1337.3013808219177
268,1335.6849452054794
269,1334.6301479452054
270,1336.2191917808218
271,1338.876728767123
272,1338.876728767123
273,1341.5616575342465
274,1341.5205698630134
275,1342.0548164383558
276,1345.301383561644
277,1346.89042739726
278,1344.808224657534
279,1341.5890493150685
280,1343.7534273972603
281,1341.6164410958904
282,1338.3972657534246
283,1332.5205534246575
284,1331.958915068493
285,1328.7671315068492
286,1328.2465808219179
287,1326.6575369863012
288,1330.3835671232875
289,1330.931509589041
290,1328.7534356164383
291,1329.3287698630136
292,1328.2602767123287
293,1329.3287698630136
294,1329.3287698630136
295,1326.6575369863012
296,1324.5205506849315
297,1326.054810958904
298,1324.4520712328765
299,1324.5068547945205
300,1325.027405479452
301,1325.027405479452
302,1325.0684931506848
303,1326.6575369863012
304,1327.191783561644
305,1325.6027397260275
306,1326.0958986301368
307,1326.6575369863012
308,1323.931520547945
309,1321.2876794520548
310,1321.3013753424657
311,1320.2191863013697
312,1318.0548082191779
313,1313.2876767123287
314,1313.2739808219178
315,1310.6438438356163
316,1309.5616602739724
317,1308.4931671232875
318,1311.6712712328765
319,1310.6301698630134
320,1311.164424657534
321,1311.109646575342
322,1312.205531506849
323,1313.2877287671229
324,1312.7534821917804
325,1312.2192410958899
326,1293.068558904109
327,1277.8219808219174
328,1265.9315643835612
329,1250.3288356164378
330,1234.8630849315061
331,1215.9726821917802
332,1197.8083013698624
333,1177.8356986301364
334,1162.246660273972
335,1144.0411863013692
336,1128.8357150684924
337,1114.356257534246
338,1095.4384547945199
339,1076.1918849315061
340,1057.0138109589036
341,1038.9727178082185
342,1019.1508054794514
343,996.7809616438349
344,979.1097369863006
345,959.1782383561635
346,942.0001506849306
347,922.2467260273963
348,910.3974109589033
349,892.9590630136977
350,879.0138657534237
351,858.7125041095882
352,838.1508547945195
353,824.5481232876705
354,807.12346849315
355,788.4933369863006
356,770.342660273972
357,748.9042986301364
358,731.26046849315
359,715.7673287671225
360,696.7262328767116
361,683.4111643835608
362,667.1646027397252
363,650.7947424657526
364,637.4385945205471
365,624.8358520547937
366,606.7125726027389
367,595.3153150684924
368,569.4386109589033
369,547.8084767123281
370,538.2879260273966
371,529.5071123287665
372,508.95917808219133
373,489.35642739725984
374,469.50712876712294
375,457.17839452054756
376,439.94555890410913
377,417.21955616438316
378,404.2332849315065
379,384.2744246575341
